sensor,rohdaten
Alicestraße 2,629
Friedrichstraße 1,177
Friedrichstraße 11,645
Hauptstraße 36,687
Hauptstraße 52 Marktplatz,666
Hauptstraße 8,702
Innenstadt,786
Karlstraße 15,736
Karlstraße 6,646
Kurpark,711
Kurpark - Eingang Kolonnaden,646
Kurpark - Eingang Kurhaus,572
Kurpark - Eingang Ludwigstraße,111
Kurpark - Eingang Parkstraße,387
Kurpark - Eingang Sprudelhof,609
Kurpark - Großer Teich - Toilette,531
Kurpark - Großer Teich Nord Ost,449
Kurpark - Großer Teich Süd Ost,549
Kurpark - Zentrum Süd,557
Kurstraße 13,652
Kurstraße 7,695
Parkstraße 24,612
Parkstraße 4,511
Reinhardstraße 19,699
Reinhardstraße 2,722
Rosengarten,557
Schulstraße 6,542
Stresemannstraße 38,542
Stresemannstraße 6,634
Trafohaus Zanderstraße,616
