stunde,anzahl,mittelwert,median,nullwerte
0,300,13.11,10.0,0
1,508,8.846456692913385,6.0,8
2,372,5.803763440860215,4.0,32
3,410,4.082926829268293,3.0,52
4,449,4.893095768374165,3.0,42
5,691,9.81041968162084,7.0,20
6,712,20.457865168539325,16.0,0
7,893,33.94624860022397,26.0,1
8,860,47.21046511627907,34.0,0
9,897,61.549609810479375,46.0,0
10,702,74.94017094017094,55.0,28
11,897,85.5964325529543,60.0,0
12,1025,96.49463414634147,67.0,0
13,911,92.1284302963776,61.0,0
14,897,89.1438127090301,57.0,0
15,794,87.73929471032746,56.0,1
16,887,79.34836527621195,52.0,2
17,941,82.36556854410202,58.0,0
18,1022,69.59393346379647,48.0,0
19,933,54.748124330117896,37.0,0
20,870,40.57241379310345,26.0,0
21,740,28.714864864864865,17.0,2
22,542,20.1549815498155,13.0,2
23,325,3.609230769230769,2.0,74
