sensor,rohdaten,zeitpunkte,mehrfachmessungen,fehlende_stunden,groesste_luecke_stunden,erste_messung,letzte_messung
Kurpark - Eingang Ludwigstraße,111,32,79,303,3.0,2025-06-30 02:00:00+00:00,2025-07-01 13:00:00+00:00
Friedrichstraße 1,177,56,121,279,2.0,2025-06-30 01:00:00+00:00,2025-07-02 11:00:00+00:00
Kurpark - Eingang Parkstraße,387,211,176,124,18.0,2025-06-30 02:00:00+00:00,2025-07-13 22:00:00+00:00
Kurpark - Großer Teich Nord Ost,449,222,227,113,18.0,2025-06-30 02:00:00+00:00,2025-07-13 23:00:00+00:00
Kurpark - Großer Teich - Toilette,531,223,308,112,18.0,2025-06-30 02:00:00+00:00,2025-07-13 23:00:00+00:00
Kurpark - Großer Teich Süd Ost,549,228,321,107,18.0,2025-06-30 02:00:00+00:00,2025-07-13 22:00:00+00:00
Rosengarten,557,229,328,106,18.0,2025-06-30 02:00:00+00:00,2025-07-13 22:00:00+00:00
Kurpark - Eingang Kolonnaden,646,232,414,103,18.0,2025-06-30 01:00:00+00:00,2025-07-13 22:00:00+00:00
Kurpark - Eingang Sprudelhof,609,232,377,103,18.0,2025-06-30 02:00:00+00:00,2025-07-13 22:00:00+00:00
Kurpark - Zentrum Süd,557,232,325,103,18.0,2025-06-30 01:00:00+00:00,2025-07-13 22:00:00+00:00
Stresemannstraße 6,634,240,394,95,18.0,2025-06-30 01:00:00+00:00,2025-07-13 23:00:00+00:00
Parkstraße 4,511,240,271,95,18.0,2025-06-30 01:00:00+00:00,2025-07-13 22:00:00+00:00
Trafohaus Zanderstraße,616,241,375,94,18.0,2025-06-30 01:00:00+00:00,2025-07-13 23:00:00+00:00
Stresemannstraße 38,542,242,300,93,18.0,2025-06-30 01:00:00+00:00,2025-07-13 23:00:00+00:00
Kurpark - Eingang Kurhaus,572,243,329,92,18.0,2025-06-30 01:00:00+00:00,2025-07-13 23:00:00+00:00
Schulstraße 6,542,245,297,90,18.0,2025-06-30 01:00:00+00:00,2025-07-13 23:00:00+00:00
Reinhardstraße 19,699,246,453,89,18.0,2025-06-30 01:00:00+00:00,2025-07-13 23:00:00+00:00
Kurstraße 13,652,246,406,89,18.0,2025-06-30 01:00:00+00:00,2025-07-13 23:00:00+00:00
Hauptstraße 52 Marktplatz,666,247,419,88,18.0,2025-06-30 01:00:00+00:00,2025-07-13 23:00:00+00:00
Alicestraße 2,629,248,381,87,18.0,2025-06-30 01:00:00+00:00,2025-07-13 22:00:00+00:00
Parkstraße 24,612,248,364,87,18.0,2025-06-30 01:00:00+00:00,2025-07-13 23:00:00+00:00
Reinhardstraße 2,722,249,473,86,18.0,2025-06-30 01:00:00+00:00,2025-07-13 23:00:00+00:00
Karlstraße 6,646,249,397,86,18.0,2025-06-30 01:00:00+00:00,2025-07-13 22:00:00+00:00
Innenstadt,786,250,536,85,19.0,2025-06-30 01:00:00+00:00,2025-07-13 23:00:00+00:00
Kurpark,711,250,461,85,19.0,2025-06-30 01:00:00+00:00,2025-07-13 23:00:00+00:00
Kurstraße 7,695,250,445,85,18.0,2025-06-30 01:00:00+00:00,2025-07-13 23:00:00+00:00
Hauptstraße 8,702,251,451,84,18.0,2025-06-30 01:00:00+00:00,2025-07-13 23:00:00+00:00
Karlstraße 15,736,252,484,83,18.0,2025-06-30 01:00:00+00:00,2025-07-13 23:00:00+00:00
Hauptstraße 36,687,252,435,83,18.0,2025-06-30 01:00:00+00:00,2025-07-13 23:00:00+00:00
Friedrichstraße 11,645,256,389,79,18.0,2025-06-30 01:00:00+00:00,2025-07-13 23:00:00+00:00
