series_id,grid_rows,originally_observed_count,originally_missing_count,original_observation_rate,patched_input_count,input_available_count,input_available_rate,unavailable_input_count,longest_originally_missing_run_hours,longest_unavailable_input_run_hours
Alicestraße 2,144,73,71,0.50694444444444442,12,85,0.59027777777777779,59,17,17
Friedrichstraße 11,144,78,66,0.54166666666666663,9,87,0.60416666666666663,57,17,17
Hauptstraße 36,144,76,68,0.52777777777777779,10,86,0.59722222222222221,58,17,17
Hauptstraße 52 Marktplatz,144,74,70,0.51388888888888884,10,84,0.58333333333333337,60,17,17
Hauptstraße 8,144,76,68,0.52777777777777779,10,86,0.59722222222222221,58,17,17
Innenstadt,144,74,70,0.51388888888888884,11,85,0.59027777777777779,59,18,18
Karlstraße 15,144,76,68,0.52777777777777779,9,85,0.59027777777777779,59,17,17
Karlstraße 6,144,76,68,0.52777777777777779,10,86,0.59722222222222221,58,17,17
Kurpark,144,73,71,0.50694444444444442,11,84,0.58333333333333337,60,18,18
Kurpark - Eingang Kolonnaden,144,68,76,0.47222222222222221,13,81,0.5625,63,17,17
Kurpark - Eingang Kurhaus,144,71,73,0.49305555555555558,14,85,0.59027777777777779,59,17,17
Kurpark - Eingang Parkstraße,144,66,78,0.45833333333333331,12,78,0.54166666666666663,66,17,17
Kurpark - Eingang Sprudelhof,144,72,72,0.5,11,83,0.57638888888888884,61,17,17
Kurpark - Großer Teich - Toilette,144,70,74,0.4861111111111111,12,82,0.56944444444444442,62,17,17
Kurpark - Großer Teich Nord Ost,144,67,77,0.46527777777777779,16,83,0.57638888888888884,61,17,17
Kurpark - Großer Teich Süd Ost,144,66,78,0.45833333333333331,14,80,0.55555555555555558,64,17,17
Kurpark - Zentrum Süd,144,70,74,0.4861111111111111,15,85,0.59027777777777779,59,17,17
Kurstraße 13,144,73,71,0.50694444444444442,12,85,0.59027777777777779,59,17,17
Kurstraße 7,144,76,68,0.52777777777777779,9,85,0.59027777777777779,59,17,17
Parkstraße 24,144,75,69,0.52083333333333337,11,86,0.59722222222222221,58,17,17
Parkstraße 4,144,70,74,0.4861111111111111,12,82,0.56944444444444442,62,17,17
Reinhardstraße 19,144,74,70,0.51388888888888884,10,84,0.58333333333333337,60,17,17
Reinhardstraße 2,144,74,70,0.51388888888888884,11,85,0.59027777777777779,59,17,17
Rosengarten,144,70,74,0.4861111111111111,12,82,0.56944444444444442,62,17,17
Schulstraße 6,144,73,71,0.50694444444444442,12,85,0.59027777777777779,59,17,17
Stresemannstraße 38,144,74,70,0.51388888888888884,11,85,0.59027777777777779,59,17,17
Stresemannstraße 6,144,73,71,0.50694444444444442,11,84,0.58333333333333337,60,17,17
Trafohaus Zanderstraße,144,74,70,0.51388888888888884,12,86,0.59722222222222221,58,17,17
